entity_id,npi,me_number,dea_number,first_name,middle_name,last_name,suffix,credential,specialty_code,specialty_name,state_license,license_state,practice_zip5,practice_address1,practice_city,practice_state,phone,is_active,retired_date,relocated_date,volume_latent,do_not_contact,sample_eligible
HCP000000,2543890414,43323360056,BB6371153,JOSEPH,C,GARCIA,,NP,207R00000X,Internal Medicine,CA243709,CA,90000,1000 MEDICAL PLZ,SYNTH CITY 0,CA,5552470749,True,,,2.992923675224,False,True
HCP000001,8217635175,73019410393,RG7700991,JASON,A,KNAPP,,NP,207RR0500X,Rheumatology,OR366737,OR,90007,1001 MEDICAL PLZ,SYNTH CITY 1,OR,5558356505,True,,,61.8651654524187,False,True
HCP000002,0304863430,75842097101,FP1807294,BRIAN,A,CAMACHO,,DO,207RC0000X,Cardiovascular Disease,WA462697,WA,90014,1002 MEDICAL PLZ,SYNTH CITY 2,WA,5554168364,True,,,17.386310404852548,False,True
HCP000003,0005578196,91106411066,MA0177203,JESSICA,T,GUTIERREZ,,PA,208000000X,Pediatrics,AZ516999,AZ,90021,1003 MEDICAL PLZ,SYNTH CITY 3,AZ,5552272540,True,,,14.44802060136224,False,True
HCP000004,3660697293,69204556970,AA3393082,JEFFERY,A,ATKINSON,,PA,207Q00000X,Family Medicine,CO837746,CO,90028,1004 MEDICAL PLZ,SYNTH CITY 4,CO,5552288608,True,,,7.12922621197058,False,True
HCP000005,5396828340,89933205281,MG6146385,JENNIFER,R,NICHOLSON,,DO,207RX0202X,Medical Oncology,TX528932,TX,90035,1005 MEDICAL PLZ,SYNTH CITY 5,TX,5554600224,True,,,7.436405556321042,False,True
HCP000006,4165047331,16141416564,FB2446028,DANIELLE,T,TORRES,,PA,207R00000X,Internal Medicine,FL223417,FL,90042,1006 MEDICAL PLZ,SYNTH CITY 6,FL,5552783611,True,,,1.6450608022429922,False,True
HCP000007,7348858342,84226437009,MG0545055,KEITH,R,CARR,,DO,207RR0500X,Rheumatology,GA738446,GA,90049,1007 MEDICAL PLZ,SYNTH CITY 7,GA,5556595015,True,,,7.433137442403917,False,True
HCP000008,8290336121,68353362129,BF6121997,JOHNNY,H,BURKE,,MD,207RC0000X,Cardiovascular Disease,NY882439,NY,90056,1008 MEDICAL PLZ,SYNTH CITY 8,NY,5552405486,True,,,7.041710649482703,False,True
HCP000009,0180653889,31956287746,GF5397774,MATTHEW,J,DENNIS,,PA,208000000X,Pediatrics,NJ162472,NJ,90063,1009 MEDICAL PLZ,SYNTH CITY 9,NJ,5553651589,True,,,6.93408845303637,False,True
HCP000010,4467255095,56904155495,FA2849554,JOSEPH,D,HOOVER,SR,DO,207Q00000X,Family Medicine,MA638154,MA,90070,1010 MEDICAL PLZ,SYNTH CITY 10,MA,5555957803,True,,,6.245801453241327,False,True
HCP000011,4772964688,20896906423,GM1690863,CAROL,R,FRANCIS,,NP,207RX0202X,Medical Oncology,PA173159,PA,90077,1011 MEDICAL PLZ,SYNTH CITY 11,PA,5551530781,True,,,19.472139119804822,False,True
HCP000012,7194108149,61740151317,MP0326827,MACKENZIE,M,NICHOLS,,NP,207R00000X,Internal Medicine,IL991829,IL,90084,1012 MEDICAL PLZ,SYNTH CITY 12,IL,5554911438,True,,,8.076829540486239,False,True
HCP000013,1475133298,27711777450,FG1102969,CLAUDIA,B,CHAN,,DO,207RR0500X,Rheumatology,OH416827,OH,90091,1013 MEDICAL PLZ,SYNTH CITY 13,OH,5556914527,True,,,2.808692387344377,False,True
HCP000014,5863652561,99527338853,RB7584807,JENNIFER,M,DUNCAN,,MD,207RC0000X,Cardiovascular Disease,MI967120,MI,90098,1014 MEDICAL PLZ,SYNTH CITY 14,MI,5557923968,True,,,15.223243030952991,False,True
HCP000015,0125581708,25968503800,PA9765048,GLENN,N,HUMPHREY,,PA,208000000X,Pediatrics,MN798934,MN,90105,1015 MEDICAL PLZ,SYNTH CITY 15,MN,5551518611,False,2024-02-25,,146.51165810917507,False,True
HCP000016,8539966142,12910917730,FA6898787,RONALD,A,CLARK,,NP,207Q00000X,Family Medicine,CA471485,CA,90112,1016 MEDICAL PLZ,SYNTH CITY 16,CA,5559156817,False,2024-02-11,,13.309024238077942,False,True
HCP000017,5816787142,99609132706,RP3836500,THOMAS,D,FRYE,,MD,207RX0202X,Medical Oncology,OR469094,OR,90119,1017 MEDICAL PLZ,SYNTH CITY 17,OR,5559717853,True,,,36.98893277560657,False,True
HCP000018,3273710368,74420060293,PF9846493,STEPHANIE,S,NGUYEN,,NP,207R00000X,Internal Medicine,WA416403,WA,90126,1018 MEDICAL PLZ,SYNTH CITY 18,WA,5558495854,True,,,9.27857402039122,False,True
HCP000019,7829532309,65378039891,GA8520788,CRISTIAN,J,MILLER,,PA,207RR0500X,Rheumatology,AZ830595,AZ,90133,1019 MEDICAL PLZ,SYNTH CITY 19,AZ,5559988297,True,,,14.906437467886743,False,True
HCP000020,4311187163,69565384766,PP5653787,VICTORIA,J,HORN,,DO,207RC0000X,Cardiovascular Disease,CO156296,CO,90140,1020 MEDICAL PLZ,SYNTH CITY 20,CO,5554038144,True,,,9.047578150996488,False,True
HCP000021,6657456722,33334563847,AB4341467,EILEEN,R,STEELE,,MD,208000000X,Pediatrics,TX566179,TX,90147,1021 MEDICAL PLZ,SYNTH CITY 21,TX,5558126467,True,,,3.9049763121083143,False,True
HCP000022,8336652093,88401239362,MG1418798,KEVIN,T,HORTON,,MD,207Q00000X,Family Medicine,FL964538,FL,90154,1022 MEDICAL PLZ,SYNTH CITY 22,FL,5558068037,True,,,5.289295560480101,False,True
