source_system,source_record_id,entity_id_truth,npi,me_number,dea_number,first_name,last_name,middle_name,suffix,credential,specialty_code,address_line1,city,state,zip5,phone,state_license,license_state,is_active,do_not_contact
hcp_master,HCP000000,HCP000000,2543890414,43323360056,BB6371153,JOSEPH,GARCIA,C,,NP,207R00000X,1000 MEDICAL Plaza,SYNTH CITY 0,CA,90000,5552470749,CA243709,CA,True,False
hcp_master,HCP000001,HCP000001,8217635175,73019410393,RG7700991,JASON,KNAPP,A,,NP,207RR0500X,1001 MEDICAL PLZ,SYNTH CITY 1,OR,90007,5558356505,OR366737,OR,True,False
hcp_master,HCP000002,HCP000002,0304863430,75842097101,FP1807294,BRIAN,CAMACHO,A,,DO,207RC0000X,1002 MEDICAL Plaza,SYNTH CITY 2,WA,90014,5554168364,WA462697,WA,True,False
hcp_master,HCP000003,HCP000003,0005578196,91106411066,MA0177203,JESSICA,GUTIERREZ,T,,PA,208000000X,1003 MEDICAL PLZ,SYNTH CITY 3,AZ,90021,5552272540,AZ516999,AZ,True,False
hcp_master,HCP000004,HCP000004,3660697293,69204556970,AA3393082,JEFFERY,ATKINSON,A,,PA,207Q00000X,1004 MEDICAL Plaza,SYNTH CITY 4,CO,90028,5552288608,CO837746,CO,True,False
hcp_master,HCP000005,HCP000005,5396828340,89933205281,MG6146385,JENNIFER,NICHOLSON,R,,DO,207RX0202X,1005 MEDICAL PLZ,SYNTH CITY 5,TX,90035,5554600224,TX528932,TX,True,False
hcp_master,HCP000006,HCP000006,4165047331,16141416564,FB2446028,DANIELLE,TORRES,T,,PA,207R00000X,1006 MEDICAL Plaza,SYNTH CITY 6,FL,90042,5552783611,FL223417,FL,True,False
hcp_master,HCP000007,HCP000007,7348858342,84226437009,MG0545055,KEITH,CARR,R,,DO,207RR0500X,1007 MEDICAL PLZ,SYNTH CITY 7,GA,90049,5556595015,GA738446,GA,True,False
hcp_master,HCP000008,HCP000008,8290336121,68353362129,BF6121997,JOHNNY,BURKE,H,,MD,207RC0000X,1008 MEDICAL Plaza STE 9,SYNTH CITY 8,NY,90056,5552405486,NY882439,NY,True,False
hcp_master,HCP000009,HCP000009,0180653889,31956287746,GF5397774,MATTHEW,DENNIS,J,,PA,208000000X,1009 MEDICAL Plaza,SYNTH CITY 9,NJ,90063,5553651589,NJ162472,NJ,True,False
hcp_master,HCP000010,HCP000010,4467255095,56904155495,FA2849554,JOSEPH,HOOVER,D,SR,DO,207Q00000X,1010 MEDICAL PLZ,SYNTH CITY 10,MA,90070,5555957803,MA638154,MA,True,False
hcp_master,HCP000011,HCP000011,4772964688,20896906423,GM1690863,CAROL,FRANCIS,R,,NP,207RX0202X,1011 MEDICAL PLZ,SYNTH CITY 11,PA,90077,5551530781,PA173159,PA,True,False
hcp_master,HCP000012,HCP000012,7194108149,61740151317,MP0326827,MACKENZIE,NICHOLS,M,,NP,207R00000X,1012 MEDICAL PLZ,SYNTH CITY 12,IL,90084,5554911438,IL991829,IL,True,False
hcp_master,HCP000013,HCP000013,1475133298,27711777450,FG1102969,CLAUDIA,CHAN,B,,DO,207RR0500X,1013 MEDICAL Plaza,SYNTH CITY 13,OH,90091,5556914527,OH416827,OH,True,False
hcp_master,HCP000014,HCP000014,5863652561,99527338853,RB7584807,JENNIFER,DUNCAN,M,,MD,207RC0000X,1014 MEDICAL PLZ,SYNTH CITY 14,MI,90098,5557923968,MI967120,MI,True,False
hcp_master,HCP000015,HCP000015,0125581708,25968503800,PA9765048,GLENN,HUMPHREY,N,,PA,208000000X,1015 MEDICAL PLZ,SYNTH CITY 15,MN,90105,5551518611,MN798934,MN,False,False
hcp_master,HCP000016,HCP000016,,12910917730,FA6898787,RONALD,CLARK,A,,NP,207Q00000X,1016 MEDICAL PLZ,SYNTH CITY 16,CA,90112,5559156817,CA471485,CA,False,False
hcp_master,HCP000017,HCP000017,5816787142,99609132706,RP3836500,TOM,FRYE,D,,MD,207RX0202X,1017 MEDICAL PLZ,SYNTH CITY 17,OR,90119,5559717853,OR469094,OR,True,False
hcp_master,HCP000018,HCP000018,3273710368,74420060293,PF9846493,STEPHANIE,NGUYEN,S,,NP,207R00000X,1018 MEDICAL PLZ,SYNTH CITY 18,WA,90126,5558495854,WA416403,WA,True,False
