source_system,source_record_id,entity_id_truth,npi,me_number,dea_number,first_name,last_name,middle_name,suffix,credential,specialty_code,address_line1,city,state,zip5,phone,state_license,license_state,is_active,do_not_contact
hcp_master,HCP000000,HCP000000,2543890414,43323360056,BB6371153,JOSEPH,GARCIA,C,,NP,207R00000X,1000 MEDICAL Plaza,SYNTH CITY 0,CA,90000,5552470749,CA243709,CA,True,False
crm,CRM000000,HCP000000,2543890414,,BB6371153,JOSEPH,GARCIA,C,,NP,207R00000X,1000 MEDICAL PLZ,SYNTH CITY 0,CA,90000,5552470749,,,True,False
rx_demand,RXD000000,HCP000000,2543890414,43323360056,,JOSEPH,GARCIA,C,,NP,207R00000X,1000 MEDICAL Plaza STE 31,SYNTH CITY 0,CA,90000,,,,True,False
specialty,SPC000000,HCP000000,2543890414,,,JOSEPH,GARCIA,C,,NP,207R00000X,1000 MEDICAL PLZ,SYNTH CITY 0,CA,90000,5552470749,,,True,False
hcp_master,HCP000001,HCP000001,8217635175,73019410393,RG7700991,JASON,KNAPP,A,,NP,207RR0500X,1001 MEDICAL PLZ,SYNTH CITY 1,OR,90007,5558356505,OR366737,OR,True,False
crm,CRM000001,HCP000001,8217635175,,RG7700991,JASON,KNAPP,A,,NP,207RR0500X,1001 MEDICAL PLZ,SYNTH CITY 1,OR,90007,5558356505,,,True,False
rx_demand,RXD000001,HCP000001,8217635175,73019410393,,JASON,KNAPP,A,,NP,207RR0500X,1001 MEDICAL PLZ,SYNTH CITY 1,OR,90007,,,,True,False
specialty,SPC000001,HCP000001,8217635175,,,JASON,KNAPP,A,,NP,207RR0500X,1001 MEDICAL PLZ,SYNTH CITY 1,OR,90007,5558356505,,,True,False
hcp_master,HCP000002,HCP000002,0304863430,75842097101,FP1807294,BRIAN,CAMACHO,A,,DO,207RC0000X,1002 MEDICAL Plaza,SYNTH CITY 2,WA,90014,5554168364,WA462697,WA,True,False
crm,CRM000002,HCP000002,0304863430,,FP1807294,BRIAN,CAMACHO,A,,DO,207RC0000X,1002 MEDICAL PLZ,SYNTH CITY 2,WA,90014,5554168364,,,True,False
rx_demand,RXD000002,HCP000002,0304863430,75842097101,,BRIAN,CAMACHO,A,,DO,207RC0000X,1002 MEDICAL Plaza,SYNTH CITY 2,WA,90014,,,,True,False
specialty,SPC000002,HCP000002,0304863430,,,BRIAN,CAMACHO,A,,DO,207RC0000X,1002 MEDICAL PLZ,SYNTH CITY 2,WA,90014,5554168364,,,True,False
hcp_master,HCP000003,HCP000003,0005578196,91106411066,MA0177203,JESSICA,GUTIERREZ,T,,PA,208000000X,1003 MEDICAL PLZ,SYNTH CITY 3,AZ,90021,5552272540,AZ516999,AZ,True,False
crm,CRM000003,HCP000003,0005578196,,MA0177203,JESSICA,GUTIERREZ,T,,PA,208000000X,1003 MEDICAL Plaza,SYNTH CITY 3,AZ,90021,5552272540,,,True,False
rx_demand,RXD000003,HCP000003,0005578196,91106411066,,JESSICA,GUTIERREZ,T,,PA,208000000X,1003 MEDICAL PLZ,SYNTH CITY 3,AZ,90021,,,,True,False
specialty,SPC000003,HCP000003,0005578196,,,JESSICA,GUTIERREZ,T,,PA,208000000X,1003 MEDICAL PLZ,SYNTH CITY 3,AZ,90021,5552272540,,,True,False
hcp_master,HCP000004,HCP000004,3660697293,69204556970,AA3393082,JEFFERY,ATKINSON,A,,PA,207Q00000X,1004 MEDICAL Plaza,SYNTH CITY 4,CO,90028,5552288608,CO837746,CO,True,False
crm,CRM000004,HCP000004,3660697293,,AA3393082,JEFFERY,ATKINSON,A,,PA,207Q00000X,1004 MEDICAL PLZ,SYNTH CITY 4,CO,90028,5552288608,,,True,False
rx_demand,RXD000004,HCP000004,3660697293,69204556970,,JEFFERY,ATKINSON,A,,PA,207Q00000X,1004 MEDICAL Plaza,SYNTH CITY 4,CO,90028,,,,True,False
specialty,SPC000004,HCP000004,3660697293,,,JEFFERY,ATKINSON,A,,PA,207Q00000X,1004 MEDICAL PLZ,SYNTH CITY 4,CO,90028,5552288608,,,True,False
hcp_master,HCP000005,HCP000005,5396828340,89933205281,MG6146385,JENNIFER,NICHOLSON,R,,DO,207RX0202X,1005 MEDICAL PLZ,SYNTH CITY 5,TX,90035,5554600224,TX528932,TX,True,False
crm,CRM000005,HCP000005,5396828340,,MG6146385,JENNIFER,NICHOLSON,R,,DO,207RX0202X,1005 MEDICAL PLZ,SYNTH CITY 5,TX,90035,5554600224,,,True,False
rx_demand,RXD000005,HCP000005,5396828340,89933205281,,JENNIFER,NICHOLSON,R,,DO,207RX0202X,1005 MEDICAL Plaza STE 13,SYNTH CITY 5,TX,90035,,,,True,False
specialty,SPC000005,HCP000005,5396828340,,,JENNIFER,NICHOLSON,R,,DO,207RX0202X,1005 MEDICAL PLZ,SYNTH CITY 5,TX,90035,5554600224,,,True,False
hcp_master,HCP000006,HCP000006,4165047331,16141416564,FB2446028,DANIELLE,TORRES,T,,PA,207R00000X,1006 MEDICAL Plaza,SYNTH CITY 6,FL,90042,5552783611,FL223417,FL,True,False
crm,CRM000006,HCP000006,4165047331,,FB2446028,DANIELLE,TORRES,T,,PA,207R00000X,1006 MEDICAL Plaza STE 38,SYNTH CITY 6,FL,90042,5552783611,,,True,False
rx_demand,RXD000006,HCP000006,4165047331,16141416564,,DANIELLE,TORRES,T,,PA,207R00000X,1006 MEDICAL Plaza STE 33,SYNTH CITY 6,FL,90042,,,,True,False
specialty,SPC000006,HCP000006,4165047331,,,DANIELLE,TORRES,T,,PA,207R00000X,1006 MEDICAL PLZ,SYNTH CITY 6,FL,90042,5552783611,,,True,False
hcp_master,HCP000007,HCP000007,7348858342,84226437009,MG0545055,KEITH,CARR,R,,DO,207RR0500X,1007 MEDICAL PLZ,SYNTH CITY 7,GA,90049,5556595015,GA738446,GA,True,False
crm,CRM000007,HCP000007,7348858342,,MG0545055,KEITH,CARR,R,,DO,207RR0500X,1007 MEDICAL PLZ,SYNTH CITY 7,GA,90049,5556595015,,,True,False
rx_demand,RXD000007,HCP000007,7348858342,84226437009,,KEITH,CARR,R,,DO,207RR0500X,1007 MEDICAL PLZ,SYNTH CITY 7,GA,90049,,,,True,False
specialty,SPC000007,HCP000007,7348858342,,,KEITH,CARR,R,,DO,207RR0500X,1007 MEDICAL PLZ,SYNTH CITY 7,GA,90049,5556595015,,,True,False
hcp_master,HCP000008,HCP000008,8290336121,68353362129,BF6121997,JOHNNY,BURKE,H,,MD,207RC0000X,1008 MEDICAL Plaza STE 9,SYNTH CITY 8,NY,90056,5552405486,NY882439,NY,True,False
crm,CRM000008,HCP000008,8290336121,,BF6121997,JOHNNY,BURKE,H,,MD,207RC0000X,1008 MEDICAL PLZ,SYNTH CITY 8,NY,90056,5552405486,,,True,False
rx_demand,RXD000008,HCP000008,8290336121,68353362129,,JOHNNY,BURKE,H,,MD,207RC0000X,1008 MEDICAL PLZ,SYNTH CITY 8,NY,90056,,,,True,False
specialty,SPC000008,HCP000008,8290336121,,,JOHNNY,BURKE,H,,MD,207RC0000X,1008 MEDICAL PLZ,SYNTH CITY 8,NY,90056,5552405486,,,True,False
hcp_master,HCP000009,HCP000009,0180653889,31956287746,GF5397774,MATTHEW,DENNIS,J,,PA,208000000X,1009 MEDICAL Plaza,SYNTH CITY 9,NJ,90063,5553651589,NJ162472,NJ,True,False
crm,CRM000009,HCP000009,0180653889,,GF5397774,MATTHEW,DENNIS,J,,PA,208000000X,1009 MEDICAL PLZ,SYNTH CITY 9,NJ,90063,5553651589,,,True,False
rx_demand,RXD000009,HCP000009,0180653889,31956287746,,MATTHEW,DENNIS,J,,PA,208000000X,1009 MEDICAL Plaza,SYNTH CITY 9,NJ,90063,,,,True,False
specialty,SPC000009,HCP000009,0180653889,,,MATTHEW,DENNIS,J,,PA,208000000X,1009 MEDICAL PLZ,SYNTH CITY 9,NJ,90063,5553651589,,,True,False
hcp_master,HCP000010,HCP000010,4467255095,56904155495,FA2849554,JOSEPH,HOOVER,D,SR,DO,207Q00000X,1010 MEDICAL PLZ,SYNTH CITY 10,MA,90070,5555957803,MA638154,MA,True,False
crm,CRM000010,HCP000010,4467255095,,FA2849554,JOSEPH,HOOVER SR,D,SR,DO,207Q00000X,1010 MEDICAL PLZ,SYNTH CITY 10,MA,90070,5555957803,,,True,False
rx_demand,RXD000010,HCP000010,4467255095,56904155495,,JOSEPH,HOOVER,D,SR,DO,207Q00000X,1010 MEDICAL Plaza,SYNTH CITY 10,MA,90070,,,,True,False
specialty,SPC000010,HCP000010,4467255095,,,JOSEPH,HOOVER,D,SR,DO,207Q00000X,1010 MEDICAL Plaza STE 4,SYNTH CITY 10,MA,90070,5555957803,,,True,False
hcp_master,HCP000011,HCP000011,4772964688,20896906423,GM1690863,CAROL,FRANCIS,R,,NP,207RX0202X,1011 MEDICAL PLZ,SYNTH CITY 11,PA,90077,5551530781,PA173159,PA,True,False
crm,CRM000011,HCP000011,4772964688,,GM1690863,CAROL,FRANCIS,R,,NP,207RX0202X,1011 MEDICAL Plaza STE 34,SYNTH CITY 11,PA,90077,5551530781,,,True,False
rx_demand,RXD000011,HCP000011,4772964688,20896906423,,CAROL,FRANCIS,R,,NP,207RX0202X,1011 MEDICAL PLZ,SYNTH CITY 11,PA,90077,,,,True,False
specialty,SPC000011,HCP000011,4772964688,,,CAROL,FRANCIS,R,,NP,207RX0202X,1011 MEDICAL PLZ,SYNTH CITY 11,PA,90077,5551530781,,,True,False
hcp_master,HCP000012,HCP000012,7194108149,61740151317,MP0326827,MACKENZIE,NICHOLS,M,,NP,207R00000X,1012 MEDICAL PLZ,SYNTH CITY 12,IL,90084,5554911438,IL991829,IL,True,False
crm,CRM000012,HCP000012,7194108149,,MP0326827,MACKENZIE,NICHOLS,M,,NP,207R00000X,1012 MEDICAL PLZ,SYNTH CITY 12,IL,90084,5554911438,,,True,False
rx_demand,RXD000012,HCP000012,7194108149,61740151317,,MACKENZIE,NICHOLS,M,,NP,207R00000X,1012 MEDICAL PLZ,SYNTH CITY 12,IL,90084,,,,True,False
specialty,SPC000012,HCP000012,7194108149,,,MACKENZIE,NICHOLS,M,,NP,207R00000X,1012 MEDICAL PLZ,SYNTH CITY 12,IL,90084,5554911438,,,True,False
hcp_master,HCP000013,HCP000013,1475133298,27711777450,FG1102969,CLAUDIA,CHAN,B,,DO,207RR0500X,1013 MEDICAL Plaza,SYNTH CITY 13,OH,90091,5556914527,OH416827,OH,True,False
crm,CRM000013,HCP000013,3413472631,,FG1102969,CLAUDIA,CHAN,B,,DO,207RR0500X,1013 MEDICAL PLZ,SYNTH CITY 13,OH,90091,5556914527,,,True,False
rx_demand,RXD000013,HCP000013,1475133298,27711777450,,CLAUDIA,CHAN,B,,DO,207RR0500X,1013 MEDICAL Plaza,SYNTH CITY 13,OH,90091,,,,True,False
specialty,SPC000013,HCP000013,1475133298,,,CLAUDIA,CHAN,B,,DO,207RR0500X,1013 MEDICAL Plaza,SYNTH CITY 13,OH,90091,5556914527,,,True,False
hcp_master,HCP000014,HCP000014,5863652561,99527338853,RB7584807,JENNIFER,DUNCAN,M,,MD,207RC0000X,1014 MEDICAL PLZ,SYNTH CITY 14,MI,90098,5557923968,MI967120,MI,True,False
crm,CRM000014,HCP000014,5863652561,,RB7584807,JENNIFER,DUNCAN,M,,MD,207RC0000X,1014 MEDICAL PLZ,SYNTH CITY 14,MI,90098,5557923968,,,True,False
rx_demand,RXD000014,HCP000014,5863652561,99527338853,,JENNIFER,DUNCAN,M,,MD,207RC0000X,1014 MEDICAL Plaza,SYNTH CITY 14,MI,90098,,,,True,False
specialty,SPC000014,HCP000014,5863652561,,,JENNIFER,DUNCAN,M,,MD,207RC0000X,1014 MEDICAL PLZ,SYNTH CITY 14,MI,90098,5557923968,,,True,False
hcp_master,HCP000015,HCP000015,0125581708,25968503800,PA9765048,GLENN,HUMPHREY,N,,PA,208000000X,1015 MEDICAL PLZ,SYNTH CITY 15,MN,90105,5551518611,MN798934,MN,False,False
crm,CRM000015,HCP000015,0125581708,,PA9765048,GLENN,HUMPHREY,N,,PA,208000000X,1015 MEDICAL Plaza,SYNTH CITY 15,MN,90105,5551518611,,,False,False
rx_demand,RXD000015,HCP000015,0125581708,25968503800,,GLENN,HUMPHREY,N,,PA,208000000X,1015 MEDICAL PLZ,SYNTH CITY 15,MN,90105,,,,False,False
specialty,SPC000015,HCP000015,0125581708,,,GLENN,HUMPHREY,N,,PA,208000000X,1015 MEDICAL Plaza,SYNTH CITY 15,MN,90105,5551518611,,,False,False
hcp_master,HCP000016,HCP000016,,12910917730,FA6898787,RONALD,CLARK,A,,NP,207Q00000X,1016 MEDICAL PLZ,SYNTH CITY 16,CA,90112,5559156817,CA471485,CA,False,False
crm,CRM000016,HCP000016,8539966142,,FA6898787,RONALD,CLARK,A,,NP,207Q00000X,1016 MEDICAL Plaza,SYNTH CITY 16,CA,90112,5559156817,,,False,False
rx_demand,RXD000016,HCP000016,8539966142,12910917730,,RONALD,CLARK,A,,NP,207Q00000X,1016 MEDICAL PLZ,SYNTH CITY 16,CA,90112,,,,False,False
specialty,SPC000016,HCP000016,,,,RONALD,CLARK,A,,NP,207Q00000X,1016 MEDICAL PLZ,SYNTH CITY 16,CA,90112,5559156817,,,False,False
hcp_master,HCP000017,HCP000017,5816787142,99609132706,RP3836500,TOM,FRYE,D,,MD,207RX0202X,1017 MEDICAL PLZ,SYNTH CITY 17,OR,90119,5559717853,OR469094,OR,True,False
crm,CRM000017,HCP000017,5816787142,,RP3836500,THOMAS,FRYE,D,,MD,207RX0202X,1017 MEDICAL PLZ,SYNTH CITY 17,OR,90119,5559717853,,,True,False
rx_demand,RXD000017,HCP000017,5816787142,99609132706,,THOMAS,FRYE,D,,MD,207RX0202X,1017 MEDICAL PLZ,SYNTH CITY 17,OR,90119,,,,True,False
specialty,SPC000017,HCP000017,,,,TOM,FRYE,D,,MD,207RX0202X,1017 MEDICAL PLZ,SYNTH CITY 17,OR,90119,5559717853,,,True,False
hcp_master,HCP000018,HCP000018,3273710368,74420060293,PF9846493,STEPHANIE,NGUYEN,S,,NP,207R00000X,1018 MEDICAL PLZ,SYNTH CITY 18,WA,90126,5558495854,WA416403,WA,True,False
crm,CRM000018,HCP000018,3273710368,,PF9846493,STEPHANIE,NGUYEN,S,,NP,207R00000X,1018 MEDICAL PLZ,SYNTH CITY 18,WA,90126,5558495854,,,True,False
rx_demand,RXD000018,HCP000018,3273710368,74420060293,,STEPHANIE,NGUYEN,S,,NP,207R00000X,1018 MEDICAL PLZ,SYNTH CITY 18,WA,90126,,,,True,False
specialty,SPC000018,HCP000018,3273710368,,,STEPHANIE,NGUYEN,S,,NP,207R00000X,1018 MEDICAL PLZ,SYNTH CITY 18,WA,90126,5558495854,,,True,False
hcp_master,HCP000019,HCP000019,7829532309,65378039891,GA8520788,CRISTIAN,MILLER,J,,PA,207RR0500X,1019 MEDICAL Plaza,SYNTH CITY 19,AZ,90133,5559988297,AZ830595,AZ,True,False
crm,CRM000019,HCP000019,7829532309,,GA8520788,CRISTIAN,MILLER,J,,PA,207RR0500X,1019 MEDICAL PLZ,SYNTH CITY 19,AZ,90133,5559988297,,,True,False
rx_demand,RXD000019,HCP000019,7829532309,65378039891,,CRISTIAN,MILLER,J,,PA,207RR0500X,1019 MEDICAL Plaza STE 11,SYNTH CITY 19,AZ,90133,,,,True,False
specialty,SPC000019,HCP000019,7829532309,,,CRISTIAN,MILLER,J,,PA,207RR0500X,1019 MEDICAL Plaza,SYNTH CITY 19,AZ,90133,5559988297,,,True,False
hcp_master,HCP000020,HCP000020,4311187163,69565384766,PP5653787,VICTORIA,HORN,J,,DO,207RC0000X,1020 MEDICAL PLZ,SYNTH CITY 20,CO,90140,5554038144,CO156296,CO,True,False
crm,CRM000020,HCP000020,4311187163,,PP5653787,VICTORIA,HORN,J,,DO,207RC0000X,1020 MEDICAL PLZ,SYNTH CITY 20,CO,90140,5554038144,,,True,False
rx_demand,RXD000020,HCP000020,4311187163,69565384766,,VICTORIA,HORN,J,,DO,207RC0000X,1020 MEDICAL PLZ,SYNTH CITY 20,CO,90140,,,,True,False
specialty,SPC000020,HCP000020,4311187163,,,VICTORIA,HORN,J,,DO,207RC0000X,1020 MEDICAL PLZ,SYNTH CITY 20,CO,90140,5554038144,,,True,False
hcp_master,HCP000021,HCP000021,6657456722,33334563847,AB4341467,EILEEN,STEELE,R,,MD,208000000X,1021 MEDICAL Plaza,SYNTH CITY 21,TX,90147,5558126467,TX566179,TX,True,False
crm,CRM000021,HCP000021,6657456722,,AB4341467,EILEEN,STEELE,R,,MD,208000000X,1021 MEDICAL Plaza,SYNTH CITY 21,TX,90147,5558126467,,,True,False
rx_demand,RXD000021,HCP000021,6657456722,33334563847,,EILEEN,STEELE,R,,MD,208000000X,1021 MEDICAL PLZ,SYNTH CITY 21,TX,90147,,,,True,False
specialty,SPC000021,HCP000021,6657456722,,,EILEEN,STEELE,R,,MD,208000000X,1021 MEDICAL PLZ,SYNTH CITY 21,TX,90147,5558126467,,,True,False
hcp_master,HCP000022,HCP000022,8336652093,88401239362,MG1418798,KEVIN,HORTON,T,,MD,207Q00000X,1022 MEDICAL Plaza STE 6,SYNTH CITY 22,FL,90154,5558068037,FL964538,FL,True,False
crm,CRM000022,HCP000022,8336652093,,MG1418798,KEVIN,HORTON,T,,MD,207Q00000X,1022 MEDICAL PLZ,SYNTH CITY 22,FL,90154,5558068037,,,True,False
rx_demand,RXD000022,HCP000022,8336652093,88401239362,,KEVIN,HORTON,T,,MD,207Q00000X,1022 MEDICAL PLZ,SYNTH CITY 22,FL,90154,,,,True,False
specialty,SPC000022,HCP000022,8336652093,,,KEVIN,HORTON,T,,MD,207Q00000X,1022 MEDICAL Plaza,SYNTH CITY 22,FL,90154,5558068037,,,True,False
hcp_master,HCP000023,HCP000023,1092406887,54592465026,MP9653384,JOHNNY,MOORE,A,,NP,207RX0202X,1023 MEDICAL Plaza STE 12,SYNTH CITY 23,GA,90161,5552756297,GA293927,GA,True,False
crm,CRM000023,HCP000023,1092406887,,MP9653384,JOHNNY,MOORE,A,,NP,207RX0202X,1023 MEDICAL PLZ,SYNTH CITY 23,GA,90161,5552756297,,,True,False
rx_demand,RXD000023,HCP000023,1092406887,54592465026,,JOHNNY,MOORE,A,,NP,207RX0202X,1023 MEDICAL Plaza STE 18,SYNTH CITY 23,GA,90161,,,,True,False
specialty,SPC000023,HCP000023,1092406887,,,JOHNNY,MOORE,A,,NP,207RX0202X,1023 MEDICAL PLZ,SYNTH CITY 23,GA,90161,5552756297,,,True,False
