rep_id,territory_id,valid_from,valid_to,is_vacant,first_name,last_name,email,hire_date,term_date
REP0000,TERR0000,2024-01-01,9999-12-31,False,Albert,Johnson,rep0000@synthopharma.example,2022-02-22,
REP0001,TERR0001,2024-01-01,9999-12-31,False,Jonathan,Carson,rep0001@synthopharma.example,2022-12-16,
REP0002,TERR0002,2024-01-01,9999-12-31,False,Benjamin,James,rep0002@synthopharma.example,2021-12-06,
REP0003,TERR0003,2024-01-01,9999-12-31,False,Ian,Diaz,rep0003@synthopharma.example,2023-05-26,
REP0004,TERR0004,2024-01-01,9999-12-31,False,Jared,Mann,rep0004@synthopharma.example,2023-02-09,
REP0005,TERR0005,2024-01-01,9999-12-31,False,Angelica,Williams,rep0005@synthopharma.example,2022-12-16,
REP0006,TERR0006,2024-01-01,9999-12-31,False,Olivia,Escobar,rep0006@synthopharma.example,2023-07-25,
REP0007,TERR0007,2024-01-01,2024-03-02,False,Zachary,Oliver,rep0007@synthopharma.example,2023-01-22,2024-03-02
VACANT,TERR0007,2024-03-02,9999-12-31,True,,,,,
VACANT,TERR0008,2024-01-01,9999-12-31,True,,,,,
REP0009,TERR0009,2024-01-01,9999-12-31,False,Diana,Thompson,rep0009@synthopharma.example,2022-04-19,
REP0010,TERR0010,2024-01-01,9999-12-31,False,Charles,Fox,rep0010@synthopharma.example,2023-10-20,
REP0011,TERR0011,2024-01-01,9999-12-31,False,Matthew,Oliver,rep0011@synthopharma.example,2023-09-01,
REP0012,TERR0012,2024-01-01,9999-12-31,False,Brandy,Gonzales,rep0012@synthopharma.example,2022-10-10,
REP0013,TERR0013,2024-01-01,9999-12-31,False,Laura,Todd,rep0013@synthopharma.example,2023-09-16,
REP0014,TERR0014,2024-01-01,9999-12-31,False,Renee,Kelley,rep0014@synthopharma.example,2022-07-30,
REP0015,TERR0015,2024-01-01,9999-12-31,False,Mark,Porter,rep0015@synthopharma.example,2021-11-06,
REP0016,TERR0016,2024-01-01,9999-12-31,False,Brandon,Simmons,rep0016@synthopharma.example,2023-04-27,
REP0017,TERR0017,2024-01-01,9999-12-31,False,Anthony,Lopez,rep0017@synthopharma.example,2023-09-27,
REP0018,TERR0018,2024-01-01,2024-03-14,False,Patrick,Walsh,rep0018@synthopharma.example,2022-06-19,2024-03-14
VACANT,TERR0018,2024-03-14,9999-12-31,True,,,,,
REP0019,TERR0019,2024-01-01,9999-12-31,False,Deborah,Gonzalez,rep0019@synthopharma.example,2022-02-20,
REP0020,TERR0020,2024-01-01,9999-12-31,False,Miguel,Hunt,rep0020@synthopharma.example,2022-03-14,
REP0021,TERR0021,2024-01-01,9999-12-31,False,Pamela,Garcia,rep0021@synthopharma.example,2022-02-01,
REP0022,TERR0022,2024-01-01,9999-12-31,False,Matthew,Cruz,rep0022@synthopharma.example,2023-10-05,
REP0023,TERR0023,2024-01-01,9999-12-31,False,Erik,Sellers,rep0023@synthopharma.example,2023-05-23,
REP0024,TERR0024,2024-01-01,9999-12-31,False,Michele,Lopez,rep0024@synthopharma.example,2023-01-24,
REP0025,TERR0025,2024-01-01,9999-12-31,False,Eric,Gomez,rep0025@synthopharma.example,2023-01-18,
REP0026,TERR0026,2024-01-01,9999-12-31,False,Tracy,Butler,rep0026@synthopharma.example,2023-08-03,
REP0027,TERR0027,2024-01-01,9999-12-31,False,Destiny,Newman,rep0027@synthopharma.example,2023-09-18,
REP0028,TERR0028,2024-01-01,9999-12-31,False,Justin,King,rep0028@synthopharma.example,2023-10-29,
REP0029,TERR0029,2024-01-01,9999-12-31,False,Madison,Davis,rep0029@synthopharma.example,2022-04-16,
REP0030,TERR0030,2024-01-01,9999-12-31,False,Jasmine,Foley,rep0030@synthopharma.example,2023-06-09,
REP0031,TERR0031,2024-01-01,9999-12-31,False,William,Baker,rep0031@synthopharma.example,2023-10-11,
REP0032,TERR0032,2024-01-01,9999-12-31,False,Larry,Nelson,rep0032@synthopharma.example,2022-05-30,
REP0033,TERR0033,2024-01-01,9999-12-31,False,Nancy,Snow,rep0033@synthopharma.example,2023-04-17,
REP0034,TERR0034,2024-01-01,9999-12-31,False,Janet,Gross,rep0034@synthopharma.example,2022-12-23,
REP0035,TERR0035,2024-01-01,9999-12-31,False,Andrew,Miller,rep0035@synthopharma.example,2021-10-26,
REP0036,TERR0036,2024-01-01,9999-12-31,False,Benjamin,Webster,rep0036@synthopharma.example,2023-04-07,
REP0037,TERR0037,2024-01-01,9999-12-31,False,Karina,Wright,rep0037@synthopharma.example,2022-03-14,
REP0038,TERR0038,2024-01-01,9999-12-31,False,Samuel,Hardin,rep0038@synthopharma.example,2023-09-05,
REP0039,TERR0039,2024-01-01,9999-12-31,False,Michelle,Miller,rep0039@synthopharma.example,2022-04-01,
